	HomicideRate	GunOwnershipRate	pcGDP
Australia	0.8	15	68227.6
Austria	0.5	30.4	50933.03
Belgium	1.2	17.2	47887.29
Brazil	25.5	8	13038.9
Canada	1.7	30.8	51844.98
Chile	5.2	10.7	14582.17
Czech Republic	0.8	16.3	21639.33
Denmark	0.8	12	61687.16
Estonia	4.7	9.2	17446.54
Finland	1.8	45.3	50719.71
France	0.8	31.2	43762.48
Germany	0.5	30.3	46723.21
Greece	1.4	22.5	25804.41
Hungary	1.5	5.5	14024.8
Iceland	1.3	30.3	45711.15
Ireland	1.3	8.6	51709.76
Israel	2.2	7.3	34557.85
Italy	0.7	11.9	38142.27
Japan	0.3	0.6	48387.58
Korea	1.1	1.1	NA
Luxemborg	2.1	15.3	114573.67
Mexico	23.4	15	9715.09
Netherlands	0.9	3.9	53550.91
New Zealand	1.9	22.6	38247.85
Norway	2.3	31.3	100557.59
Poland	1	1.3	13702.05
Portugal	0.9	8.5	23193.22
Russia	12.8	8.9	14187.19
Slovak Republic	1.2	8.3	18143.49
Slovenia	0.4	13.5	24910.26
Spain	0.7	10.4	31857.62
Sweden	1	31.6	59510.54
Switzerland	0.5	45.7	87849.5
Turkey	3.27	12.5	10538.72
United Kingdom	0.3	5.8	41301.78
United States	5.2	88.8	49674.79
