	Assault Rate	Homicide Rate	Gender Inequality	Gun ownership Rate	pcGDP (USD)
Australia	2.1	0.8	1.44	15	68227.60
Austria	3.41	0.5	1.88	30.4	50933.03
Belgium	6.63	1.2	1.14	17.2	47887.29
Brazil	7.85	25.5	1.06	8	13038.90
Canada	1.32	1.7	1.06	30.8	51844.98
Chile	6.86	5.2	1.08	10.7	14582.17
Czech Republic	2.82	0.8	1.94	16.3	21639.33
Denmark	3.93	0.8	1.58	12	61687.16
Estonia	5.48	4.7	1.03	9.2	17446.54
Finland	2.36	1.8	4.12	45.3	50719.71
France	4.95	0.8	1.27	31.2	43762.48
Germany	3.6	0.5	1.33	30.3	46723.21
Greece	3.7	1.4	1.06	22.5	25804.41
Hungary	3.58	1.5	1.11	5.5	14024.80
Iceland	2.68	1.3	1.29	30.3	45711.15
Ireland	2.68	1.3	1.29	8.6	51709.76
Israel	6.35	2.2	1.16	7.3	34557.85
Italy	4.7	0.7	1.34	11.9	38142.27
Japan	1.37	0.3	1.2	0.6	48387.58
Korea	2.09	1.1	1.15	1.1	NA
Luxemborg	4.29	2.1	1.2	15.3	114573.67
Mexico	12.8	23.4	1.12	15	9715.09
Netherlands	4.88	0.9	1.85	3.9	53550.91
New Zealand	2.23	1.9	2.35	22.6	38247.85
Norway	3.25	2.3	1.89	31.3	100557.59
Poland	1.4	1	1.85	1.3	13702.05
Portugal	5.66	0.9	1.19	8.5	23193.22
Russia	3.76	12.8	1.77	8.9	14187.19
Slovak Republic	2.95	1.2	1.75	8.3	18143.49
Slovenia	3.92	0.4	1.43	13.5	24910.26
Spain	4.18	0.7	1.85	10.4	31857.62
Sweden	5.13	1	1.16	31.6	59510.54
Switzerland	4.2	0.5	1.99	45.7	87849.50
Turkey	5.04	3.27	1.72	12.5	10538.72
United Kingdom	1.93	0.3	3.71	5.8	41301.78
United States	1.5	5.2	1.28	88.8	49674.79
